> 人工补译词条：翻译记忆库覆盖不到的英文原文。
> 格式：<KIND>\t<英文原文>\t<中文译文>；KIND 为 NAME 或 DESC；\n 表示换行。
> 由 fill_entity_gaps.py 作为记忆库的补充加载，命中后自动扩散到所有同原文实体。
NAME	??$%%#? pinpointer	??$%%#? 定位针
NAME	AI Timed Spawner	AI 定时生成点
NAME	Blade Server Rack	刀片服务器机架
NAME	Dreaming cake	迷梦蛋糕
NAME	Expose Vocal Cords	暴露声带
NAME	Flatpacker 1001	扁平打包机 1001
NAME	Gamorrah Golden Baton	戈莫拉黄金权杖
NAME	Gamorrah Pulse Pistol	戈莫拉脉冲手枪
NAME	Moth Soup	飞蛾汤
NAME	PA end cap board	粒子加速器端盖主板
NAME	Saw Through Limb	锯断肢体
NAME	SmartFridge	智能冰柜
NAME	Urist McCyclorite	乌里斯特·麦独眼石
NAME	Urist McMeow	乌里斯特·麦喵
NAME	Volcanic explosion	火山喷发
NAME	Webball	蛛网球
NAME	What They Don't Want You To Know	他们不想让你知道的事
NAME	abductor	绑架者
NAME	airlock	气闸门
NAME	airtight hatch	气密舱口
NAME	alien pad	外星传送台
NAME	appraisal tool	估价仪
NAME	atmos plaque spawner	大气部铭牌生成点
NAME	autolathe machine board	自动车床机控板
NAME	bar window	吧台窗
NAME	bar window alternative	吧台窗（备选）
NAME	barber scissors	理发剪
NAME	black scrubs	黑色手术服
NAME	blade server rack circuit board	刀片服务器机架机控板
NAME	blast door	防爆门
NAME	captain's boat cloak	舰长斗篷
NAME	chain link fence	铁丝网围栏
NAME	chasm	深渊
NAME	cheek storage	颊囊
NAME	cloning pod	克隆舱
NAME	composition X-4	X-4 炸药
NAME	concrete wall	混凝土墙
NAME	cryo pod	低温休眠舱
NAME	curtains	帘幕
NAME	cyborg endoskeleton	赛博格内骨骼
NAME	dark wood wall	深色木墙
NAME	directional shuttle window	定向穿梭机窗
NAME	dwarf heart	矮人心脏
NAME	emergency flare	应急信号棒
NAME	external airlock	外部气闸门
NAME	firelock electronics	防火闸电子元件
NAME	flashlight	手电筒
NAME	gas analyzer	气体分析仪
NAME	gohei	御币
NAME	gravity generator	重力发生器
NAME	hand teleporter	手持传送器
NAME	high pressure machine frame	高压机器框架
NAME	hover entity	悬停实体
NAME	lagomorph eyes	兔形人眼球
NAME	law circuit tote	法则电路提箱
NAME	light xenoborg wall	轻型异形赛博格墙
NAME	light xenoborg window	轻型异形赛博格窗
NAME	lipid extractor	脂肪抽取机
NAME	magistrate's mantle	法官披风
NAME	mailing unit electronics	邮寄单元电子元件
NAME	map text	地图文本
NAME	mass scanner	质量扫描仪
NAME	meat spike	挂肉钩
NAME	meatroid	肉块机器人
NAME	medical scanner	医疗扫描仪
NAME	meth	冰毒
NAME	mirror	镜子
NAME	moffers	蛾绒拖鞋
NAME	musical lung	乐音之肺
NAME	node scanner	节点扫描仪
NAME	notice board	公告板
NAME	nuclear fabricator machine board	核子制造机机控板
NAME	nutribrick pizza	营养砖披萨
NAME	ore box	矿石箱
NAME	piano	钢琴
NAME	pointing arrow	指示箭头
NAME	random anomaly spawner	随机异常生成点
NAME	random board spawner	随机主板生成点
NAME	recycler	回收机
NAME	reinforced plastitanium wall	强化塑钛墙
NAME	reinforced shuttle wall	强化穿梭机墙
NAME	reptilian stomach	蜥蜴人胃
NAME	retro shuttle window	复古穿梭机窗
NAME	ring rope	擂台围绳
NAME	roboticist PDA	机器人专家 PDA
NAME	seed extractor	种子提取机
NAME	shadekin door	影裔门
NAME	shotgun cabinet	霰弹枪柜
NAME	shuttle wall	穿梭机墙
